"Activo","Modelo","AIC","Omega","Alpha","Beta","Gamma","Nu","LB_p","ARCH_p"
"WDC","GJR-GARCH",4.43808021700971,0.0393738031915776,6.85091603461576e-08,0.996348588399157,-0.00829998369651603,99.9958853768227,0.543812573500588,0.464008645494541
"INTC","GARCH(1,1)",4.02232692892858,0.00308914502130986,6.96403962797636e-10,0.99899992012437,NA,21.0321760339503,0.873873974067532,0.887467604318621
"AMD","GARCH(1,1)",4.92804147200723,0.00775100599872289,1.67720297752381e-09,0.998999942252629,NA,99.9994288336637,0.0314705719005735,0.00352053753365043
