"Activo","Horizonte","Fecha_pronost","Vol_pronost","IC_05","IC_95","Umbral","Alerta"
"WDC",5,"2026-07-23",2.29676793848288,2.25151928625489,2.31566519732295,2.33611947364672,"NO"
"WDC",10,"2026-07-30",2.29486032871113,2.23152006498477,2.33059643267326,2.33611947364672,"NO"
"WDC",30,"2026-08-27",2.28792149954482,2.19416191806744,2.36026098352944,2.33611947364672,"NO"
"INTC",5,"2026-07-23",1.77512898751928,1.77512898544964,1.77512899103569,1.79784876448813,"NO"
"INTC",10,"2026-07-30",1.77504157884433,1.77504157525444,1.77504158389474,1.79784876448813,"NO"
"INTC",30,"2026-08-27",1.77469624238219,1.77469623521519,1.77469625164816,1.79784876448813,"NO"
"AMD",5,"2026-07-23",2.8010826516787,2.8010826439983,2.80108266476939,2.82324680659108,"NO"
"AMD",10,"2026-07-30",2.8009975876193,2.80099757459005,2.80099760621412,2.82324680659108,"NO"
"AMD",30,"2026-08-27",2.80066152993135,2.80066150428394,2.80066156241885,2.82324680659108,"NO"
